Enemy,Damage Taken
Exordium Wildlife,0.0
Large Slime,0.0
Orb Walker,0.0
Jaw Worm,0.0
Small Slimes,0.0
Transient,0.0
Automaton,0.0
Shield and Spear,0.0
Chosen and Byrds,0.0
Jaw Worm,0.0
Large Slime,0.0
Hexaghost,0.0
Reptomancer,0.0
Shelled Parasite and Fungi,0.0
Maw,0.0
Nemesis,0.0
Reptomancer,0.0
Nemesis,0.0
Sphere and 2 Shapes,0.0
3 Darklings,0.0
3 Shapes,0.0
Book of Stabbing,0.0
Snake Plant,0.0
3 Cultists,0.0
3 Cultists,0.0
Gremlin Leader,0.0
Orb Walker,0.0
Jaw Worm Horde,0.0
Giant Head,0.0
2 Louse,0.0
Cultist,0.0
Lagavulin,0.0
Gremlin Gang,0.0
Gremlin Nob,0.0
Cultist,0.0
Gremlin Gang,0.0
Lagavulin,0.0
Gremlin Leader,0.0
Slime Boss,0.0
Shield and Spear,0.0
Time Eater,0.0
Cultist,0.0
3 Darklings,0.0
Cultist,0.0
Snecko,0.0
Snake Plant,0.0
Centurion and Healer,0.0
3 Shapes,0.0
Reptomancer,0.0
Giant Head,0.0
3 Darklings,0.0
Transient,0.0
Giant Head,0.0
Reptomancer,0.0
Sphere and 2 Shapes,0.0
Maw,0.0
Donu and Deca,0.0
Shield and Spear,0.0
Slime Boss,0.0
Book of Stabbing,0.0
Looter,0.0
Gremlin Nob,0.0
Cultist,0.0
Jaw Worm,0.0
Slime Boss,0.0
Gremlin Nob,0.0
Chosen,0.0
Sentry and Sphere,0.0
Exordium Wildlife,0.0
Book of Stabbing,0.0
3 Louse,0.0
Gremlin Leader,0.0
Gremlin Nob,0.0
Gremlin Leader,0.0
Lagavulin,0.0
4 Shapes,0.0
Jaw Worm Horde,0.0
Spire Growth,0.0
Reptomancer,0.0
Sphere and 2 Shapes,0.0
4 Shapes,0.0
Small Slimes,0.0
Nemesis,0.0
Sphere and 2 Shapes,0.0
Maw,0.0
Cultist,0.0
Spheric Guardian,0.0
Champ,0.0
Book of Stabbing,0.0
Collector,0.0
3 Shapes,0.0
Giant Head,0.0
Lagavulin,0.0
Chosen,0.0
Shell Parasite,0.0
Reptomancer,0.0
3 Darklings,0.0
Shield and Spear,0.0
Large Slime,0.0
Cultist,0.0
Lagavulin,0.0
Cultist,0.0
Jaw Worm,0.0
Jaw Worm,0.0
2 Louse,0.0
3 Sentries,0.0
Blue Slaver,0.0
Gremlin Nob,0.0
Spire Growth,0.0
Spheric Guardian,0.0
Orb Walker,0.0
Lagavulin,0.0
2 Louse,0.0
Snake Plant,0.0
3 Cultists,0.0
Cultist,0.0
3 Darklings,0.0
Spire Growth,0.0
Orb Walker,0.0
3 Darklings,0.0
Giant Head,0.0
2 Orb Walkers,0.0
The Heart,0.0
Maw,0.0
Shield and Spear,0.0
Centurion and Healer,0.0
Lots of Slimes,0.0
Shell Parasite,0.0
Slime Boss,0.0
Exordium Thugs,0.0
Gremlin Gang,0.0
Lagavulin,0.0
Gremlin Nob,0.0
2 Louse,0.0
Cultist,0.0
Slime Boss,0.0
Spheric Guardian,0.0
3 Darklings,0.0
Gremlin Leader,0.0
Sentry and Sphere,0.0
3 Cultists,0.0
3 Darklings,0.0
Awakened One,0.0
Time Eater,0.0
Sphere and 2 Shapes,0.0
Lagavulin,0.0
Cultist,0.0
Transient,0.0
Orb Walker,0.0
3 Shapes,0.0
Automaton,0.0
Looter,0.0
Large Slime,0.0
Book of Stabbing,0.0
3 Byrds,0.0
Centurion and Healer,0.0
Chosen,0.0
Book of Stabbing,0.0
The Guardian,0.0
Blue Slaver,0.0
Cultist and Chosen,0.0
4 Shapes,0.0
Chosen and Byrds,0.0
Book of Stabbing,0.0
Blue Slaver,0.0
Cultist,0.0
Champ,0.0
3 Darklings,0.0
Orb Walker,0.0
Sphere and 2 Shapes,0.0
Reptomancer,0.0
Nemesis,0.0
Spire Growth,0.0
Blue Slaver,0.0
2 Louse,0.0
Jaw Worm,0.0
Centurion and Healer,0.0
Masked Bandits,0.0
2 Louse,0.0
Jaw Worm,0.0
Jaw Worm Horde,0.0
Gremlin Leader,0.0
Writhing Mass,0.0
4 Shapes,0.0
Shell Parasite,0.0
2 Fungi Beasts,0.0
Cultist,0.0
Book of Stabbing,0.0
2 Louse,0.0
4 Shapes,0.0
Gremlin Nob,0.0
3 Sentries,0.0
Sphere and 2 Shapes,0.0
Spheric Guardian,0.0
Snecko,0.0
Sentry and Sphere,0.0
Collector,0.0
3 Darklings,0.0
Orb Walker,0.0
Orb Walker,0.0
Sphere and 2 Shapes,0.0
Spire Growth,0.0
3 Cultists,0.0
Gremlin Leader,0.0
Nemesis,0.0
Giant Head,0.0
Chosen,0.0
Nemesis,0.0
Mind Bloom Boss Battle,0.0
Maw,0.0
Awakened One,0.0
Chosen,0.0
Sentry and Sphere,0.0
3 Shapes,0.0
Spire Growth,0.0
Snake Plant,0.0
Maw,0.0
Chosen,0.0
3 Byrds,0.0
Transient,0.0
Gremlin Nob,0.0
Spire Growth,0.0
Cultist,0.0
Reptomancer,0.0
4 Shapes,0.0
Transient,0.0
Awakened One,0.0
Small Slimes,0.0
Writhing Mass,0.0
Transient,0.0
Chosen and Byrds,0.0
Nemesis,0.0
Reptomancer,0.0
Giant Head,0.0
3 Darklings,0.0
Lagavulin,0.0
Orb Walker,0.0
3 Shapes,0.0
Collector,0.0
Centurion and Healer,0.0
Snake Plant,0.0
Snecko,0.0
Looter,0.0
The Guardian,0.0
Mind Bloom Boss Battle,0.0
Nemesis,0.0
Donu and Deca,0.0
Gremlin Nob,0.0
Hexaghost,0.0
2 Louse,0.0
Small Slimes,0.0
Jaw Worm,0.0
Transient,0.0
Orb Walker,0.0
Champ,0.0
Shelled Parasite and Fungi,0.0
2 Thieves,0.0
Snake Plant,0.0
Book of Stabbing,0.0
Cultist,0.0
Spheric Guardian,0.0
Large Slime,0.0
Looter,0.0
The Heart,0.0
Shield and Spear,0.0
Donu and Deca,0.0
Cultist,0.0
Jaw Worm Horde,0.0
Nemesis,0.0
Giant Head,0.0
2 Orb Walkers,0.0
3 Shapes,0.0
Orb Walker,0.0
Collector,0.0
Slavers,0.0
2 Louse,0.0
Lots of Slimes,0.0
Sentry and Sphere,0.0
Lagavulin,0.0
Snake Plant,0.0
Blue Slaver,0.0
Jaw Worm,0.0
Shield and Spear,0.0
Sphere and 2 Shapes,0.0
2 Louse,0.0
Gremlin Leader,0.0
Shell Parasite,0.0
Masked Bandits,0.0
